"title","date_created","subject","repository","format","creator","doc_type","width","height","source","language","identifier","date","description","coverage","relation","related_to","technique","contributors","tag","text","notes","audience"
"The House with the Blue Front (2)","2004-02-06","Milk; Infants; Children; Health & Welfare; Funeral rites & ceremonies","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",15,23,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e016m002.jpg","[1911]","Text reprinted from article published in the New York Times, Sunday, May 14, 1911.","New York. New York City.","inside face 1 of mk1e0016"," mk1e0016.jpg","Halftone photomechanical prints","Bernadette CARDONA",,"""THE HOUSE WITH THE BLUE FRONT"" <br><br>  (From the New York Times, Sunday, May 14, 1911.<br><br><br>  ""Can you tell me the way to The House with the Blue Front?<br><br>  The man to whom she spoke answered at once that it was right around  the corner, And well he might, for blue is not a color habitually chosen  by New Yorkers for a house front. <br><br>  Some curious purpose had dictated the choice of a color so unusual as   that which jumped at one the moment the corner was turned. The blue   was the blue of an afternoon sky. Nobody could pass such a place without stopping to look. It gripped you by the arm and held you while you pon-dered its purpose. <br><br>  This is the way it is expected to work. Take a mother who has stren-  ously refused to rear her offspring along scientific lines. She gives it tea, coffee, strawberry shortcake and pickles. One day alarming symptoms   develop. The mother, whom we wish the reader to picture as hitherto  a monument of obstinacy, experiences and instant change of heart, seizes the baby, and rushes to the street. <br><br>  ""Tell me,"" she cries, ""the nearest way to the house with the blue front.""<br><br>  The chances are 100 to 1 that somebody can give her the information instantly, and she rushes where she knows help in the form of a trained nurse awaits her, and baby is saved, with what we may describe as the   cheers of the populace. <br><br>  This is not primarily the function of the milk station, but, then, on the  other hand selling milk is also only a part of the work of such a place. The blue front milk stations are meant, indeed, to furnish good, pure milk that can safely be drunk by the feeblest baby stomach, but it is the education of the mothers who come to the place. <br><br>  The battle for the lives of children in New York is about to be   fought more fiercely than ever. Already this city stands far ahead of   any other on the continent in the care it gives its little children, and this year the New York Milk Committee, of 105 East Twenty-second Street, has   undertaken to give a demonstration to the city of the reduction that is possi-  ble through maintaining a large number of stations where good milk and   better advice are always ready for anyone who comes to seek. <br><br>  It is submitted that it costs $50 to bury a baby. It has been demon-  strated that babies can be saved at a cost of $50 a year for each baby. The New York Milk Committee say - really it sounds very sensible: ""All   things considered, we might just as wll save babies as bury them,   seeing that it does not cost any more.""<br><br>  The odd thing is that it has taken us some time to get the point   of this. It does seem pretty clear when it is pointed out, but we   have been floundering after it for a long time.   <br><br>Even last Summer, when New York had the lowest death rate among   the large cities fo the country, over 1,000 babies were buried in two weeks.    The number of babies born during the year equaled the population of New   Haven, and one-eighth of them died in the course of the twelve months.   And yet other cities made a far worse showing than New York. <br><br>  The Department of Health did know how to save many of the babies.   It knew perfectly well, but that costs money, and the average taxpayer has   not yet grasped the fact that has come home to many individuals, that $50   for saving a baby is a better way to spend money than giving $50   for burying a baby. But this year as many of these deaths are   going to be prevented as possible, and the New York Milk Com-   mittee is to make what is intended to be a striking demonstration   of what can be obtained by a great big campaign against the deaths   that hide everywhere for the little mites. <br><br>  The experiment is being made in close co-operation with the   Board of Health.   The value of the milk stations, says an expert on the question,  lies about 25 per cent. in the milk and 75 per cent. in the advice   given. It used to be the custom to prepare the milk for babies   according to a set formula, such and such for children under three   months old, and such and such for children a year old, etc. this   worked well enough for the ""average"" child, but unfortunately the   majority of children are not ""average"" at all. The New York Milk   Committee is taking a new system altogether.",,
"The House with the Blue Front (3)","2004-03-04","Milk; Education; Children; Mothers; Infants;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",15,23,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e016m003.jpg","[1911]","Text with photograph of mother in tenement apartment receiving instruction on how to prepare milk for infant feeding.  Image shows three woman gathered around kitchen table; young girl holding two small infants in her arms; while woman prepares milk; another woman (in hat) looks on.","New York. New York City.","inside face 2 of mk1e0016"," mk1e0016.jpg","Halftone photomechanical prints","Bernadette CARDONA",,"It is a very simple matter to teach a woman to prepare milk for her own chid. At every milk station there will be a nurse to do this. She will show any amount of patience that may be necessary in wrestling with idiosyn- crasies of each individual family, and not one mother will come away from the milk station without having an idea as clear as possible of the way in which the baby should be fed and cared for.<br> <br> Under the old system, when the milk was all prepared in little bottles, there were a dozen details that the mother neglected at home. The bottle was put down in a dirty place, the nipple was taken off, and cockroaches and similar lively insects would creep in. The mother did nothing about it,  because she had not been made to understand how important to health cleanliness was.  <br> <br>The Milk Committee makes her understand this, and sees that the good done at the station is not undone by ignorant careless-  ness. The nurses will work in the homes, too, so far as possible, by fol-lowing up special cases. <br><br> [illustration with title caption: INSTRUCTION IN THE HOME ] <br><br> There are doctors who will visit the station at stated times and who will  prescribe for every baby that comes. Not only do they prescribe the diet necessary for the child, but they are able to set the mother on the right  track if the child has some disease that requires special attention from a clinic. Not every baby, who comes to the station miserably undersized and puny, is suffering from malnutrition. When, however, it is malnutrition from which they suffer, it is singular to see the lines in their charts.  <br><br>Every baby that comes has a chart. Along the middle runs a line in- dicating the normal weight for a baby under a year. It goes in a long, slanting upward line. When the babies come in, little dots are put to register their relation to the line, and in practically every case these dots are a pitifully long way below the normal. A baby that should weigh fifteen pounds will weigh but eight or ten; then it gets its clutch upon the milk  bottle from the station, and presto! the line goes up so suddenly towards  the normal that it is almost perpendicular. <br><br> It is startling to see the instant improvement that follows the visits to the milk station. What ails the child usually is nothing in the world but starvation. It is useful thought to take home and ponder evenings when there is nothing else to do that hundreds of babies starve to death every year in New York City.",,
"The House with the Blue Front (4)","2004-01-28","Milk depots;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",15,23,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e016m004.jpg","[1911]","Address list for Babies' Pure Milk Station (""Blue Front"" houses) accompanied by photograph of mother attending an instructional session.  An infant weighing station is visible in background.  Caption title: ""Consultation Class.""","New York. New York City.","back of mk1e0016"," mk1e0016.jpg","Halftone photomechanical prints","Bernadette CARDONA",,"CONSULTATION CLASS<br><br> LOCATION OF THE TWENTY-SEVEN <br><br> BABIES' PURE MILK STATIONS <br><br> 47 Washington Street  326 East 11th Street  200 East 97th Street <br><br> 244 Mulberry Street  306 East 21st Street  248 East 105th Street <br><br> 35 Norfolk Street  316 East 56th Street  315 East 112th Street <br><br> 174 Eldridge Street  512 Second Street   3 East 115th Street  <br><br> 73 Cannon Street   873 Second Avenue  114 Thompson Street <br><br> 165 Ludlow Street  1705 Second Avenue  56 Le Roy Street <br><br> 339 East 4th Street  1391 Avenue A   307 Tenth Avenue <br><br> 325 East 5th Street   235 East 81st Street   438 West 48th Street <br><br> 722 East 9th Street   239 West 69th Street<br><br> 59th St. and 10th Ave. (Vanderbilt Clinic) <br><br> Godfrey R. Pisek, M. D., Chairman <br><br> Mrs. J. Borden Harriman, Vice -Chairman <br> Marshall L. Warrin, Treasurer <br><br> Paul E. Taylor, Director",,
"The House with the Blue Front","2004-01-27","Milk depots; Infants; Mothers; Education; Milk hygiene; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",15,23,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e015",1911,"Circular (one sheet) printed on four sides justifying educational outreach campaign as essential component of infant mortality reduction program.  Maternal education programs were offered by the New York Milk Committee at ""consultation classes"" held at milk stations, as well as in the home (by visiting nurses).",,,,"Halftone photomechanical prints",,,,,
"Who's Afraid... (front)","2004-01-28","Milk depots; Infant mortality;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",17,27,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e005m001.jpg","[1911]","Text accompanied by two photographs.  Top image shows naked infant standing in doorstoop of tenement building.  Caption title:  Who's Afraid. One of our milk depot babies for whom the heat and congestion have no terrors.  Bottom image shows malnourished infant resting on pillow.  Caption title:  Saved -- Even from this Condition -- by Proper Feeding.","New York. New York City.","front of mk1e005"," mk1e005.jpg","Halftone photomechanical prints","Bernadette CARDONA",,"""WHO'S AFRAID""<br><br> One of our milk depot babies for whom the heat and congestion have no terrors <br><br> 1005 LITTLE WHITE HEARSES <br><br> PASSED THROUGHT THE STREETS OF NEW YORK CITY <br><br> IN TWO HOT WEEKS LAST SUMMER <br><br> 16,000 FUNERALS OF BABIES OCCURED DURING THE YEAR <br><br> <br><br> Prominent Physicians say that <br><br> Fully one-half this mortality, or <br><br> 8000 DEATHS COULD HAVE BEEN PREVENTED <br><br> By work such as is done in the Infants' Milk Depots of <br><br> THE NEW YORK MILK COMMITTEE <br><br> THE COMMITTE NOW WISHES TO INCREASE THE NUMBER OF ITS <br><br> DEPOTS AND TO ASSIST IN A GREATER DEGREE IN CUTTING <br><br> DOWN THIS FRIGHTFUL INFANT MORTALITY RATE <br><br> <br><br> YOUR HELP IS ESSENTIAL IN CARRYING OUT THIS WORK <br><br> <br><br> SAVED- EVEN FROM THIS CONDITION - BY PROPER FEEDING",,
"Who's Afraid... (back)","2004-02-06","Milk hygiene; Milk depots; Funeral rites & ceremonies","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",17,27,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e005m002.jpg","[1911]","Text accompanied by three photographs.  Top center image shows milk can standing beside market vegetable stand.  Caption title ""Conditions that Kill Babies.""  Bottom left image shows education session in progress at milk station. Caption title:  The Milk Committee at Work <br> One of our mothers' classes.  Bottom right shows nurses dispensing milk at station.  Caption title:  The Milk Committee at Work <br> Pure milk at our Italian depot.","New York. New York City.","back of mk1e005"," mk1e005.jpg","Halftone photomechanical prints","Bernadette CARDONA",,"[Photograph]<br><br>  ""CONDITIONS THAT KILL BABIES"" <br><br>  A dirty can, from which milk, uniced, was sold last summer on an East Side <br><br>  street, amid a jumble of rank-scented vegetables. <br><br>  THE NEW YORK MILK COMMITTEE <br><br>  has demonstrated in its infants' milk depots that <br><br>  BABIES CAN BE SAVED <br><br>  AT A COST OF ABOUT FIFTY DOLLARS A YEAR FOR EACH BABY <br><br>  By enabling their tired and overworked mothers to feed them at the breast. <br><br>  By distributing pure milk for babies who must be artificially fed; and <br><br>  By having doctors instruct mothers who are ignorant but eager to <br><br>  learn, and by having nurses visit these mothers in their homes. <br><br>  It is estimated that <br><br>  THE AVERAGE COST OF BURYING A BABY IS $50 <br><br>  THUS THE $400,000 WHICH IT COSTS TO BURY THE 8000 BABIES WHO DIE NEEDLESSLY IN <br><br>  N. Y. CITY EACH YEAR WOULD SAVE THESE BABIES. <br><br>  WE PROPOSE TO ESTABLISH DEPOTS WHICH WILL SAVE BABIES FOR WHAT <BR><br>  IT NOW COSTS TO BURY THEM. <br><br>  WILL YOU HELP?<br><br>  Send check to MARSHALL L. WARRIN, Treasurer <br><br>  THE NEW YORK MILK COMMITTEE, 105 East 22nd Street, N. Y. City <br><br>  [2 photographs] <br><br>  ""THE MILK COMMITTEE AT WORK"" <br><br>  One of our mothers' classes <br><br><br><br> Pure milk at our Italian depot <br><br><br>",,
"Who's Afraid...","2004-01-28","Milk hygiene; Infant mortality;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",17,27,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e005","[1911]","Fundraising circular printed on two sides promoting the work of the New York Milk Committee and soliciting donations for milk stations.",,,,"Halftone photomechanical prints",,,,,
"Saving Through Education (1)","2004-02-17","Infants; Nutrition; Food; Menus;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e015m001.jpg","[1911]","Recommended diet for 18-24 month old babies and for 2-3 year olds. Includes examples of breakfast, lunch and dinner menus. Description of proper diet for infants printed in two columns, by age, ""From 18th to 24th Month"" on left, ""Meat After the Second Year"" on right; each column includes nutrition recommendations for caretakers from publishers; bibliographic references to ""Efficient Citizenship No. 453"" at top, which gives nutrition information to infants 12-18 months; caption ""August Days Need Not be Fatal"" at bottom; contact information for New York Milk Committee at bottom.","New York. New York City.","front of mk1e015"," mk1e015.jpg","Halftone photomechanical prints","Bernadette CARDONA",,,,
"Saving Through Education (2)","2004-02-17","Infants; Poetry;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",,,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e015m002.jpg","[1911]","Postcard with two thumbnail photos (one of gaunt, unhappy baby; one of plump, happy baby). Includes brief poetic verse entitled ""A Story.""  Contact information for New York Milk Committee at bottom.","New York. New York City.","back of mk1e015"," mk1e015.jpg","Halftone photomechanical prints","Bernadette CARDONA",,"STORY <br>   A story I'm showing <br>  Of mother not know- <br>   ing <br>  And now my story's <br>  begun <br><br>  I'll tell you another <br>  Of lessons to mother <br>  And now my story <br>  is done <br><br>",,
"Saving Through Education","2004-02-11","Infants; Nutrition; Food; Menus","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e015","[1911]","Postcard printed on sides promoting healthy diet for infants and children aged 18 months to three years.",,,,"Halftone photomechanical prints",,,,,
"How Many Babies Did Die? (2)","2004-02-10","Child rearing; Children's clothing & dress;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e014m002.jpg","[1911]","Postcard; Caption title: ""Comfort vs. looks : is your baby happy in hot weather? if not--you're to blame""; drawings of happy undressed baby and unhappy dresssed baby; instructions on how to dress baby for warm weather; caption at bottom: ""From Chicago Health Bulletin""; caption: ""New York Milk Committee"".","New York. New York City.","back of mk1e014"," mk1e014.jpg","Line photoengravings;","Jonathan Frater",,,,
"How Many Babies Did Die? (1)","2004-02-10","Infant mortality; Nutrition; Stats; Milk; Milk hygiene;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",14,18,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e014m001.jpg","[1911]","Caption title; statistical analysis of cities of varying sizes and infant mortality rates; cities are organized by mortality statistics; Montclair, N.J. is used as the basis for comparison; contact information for New York Milk Committee at bottom.","New York. New York City.","front of mk1e014"," mk1e014.jpg",,"Jonathan Frater",,,,"parents, physicians, politicians, city planners"
"How Many Babies Did Die?","2004-02-10","Infant mortality; Milk; Children's clothing & dress","The New York Academy of Medicine","JPG","New York Milk Committee.","Postcards",14,18,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e014","[1911]","Postcard printed on two sides providing instructions on infant care during the summer months and presenting mortality statistics for infants deaths related to impure milk supply",,,,"Line photoengravings",,,,,
"Are Clean Milk Producers Benefited?","2004-02-10","Milk hygiene; Dairying;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Leaflets",10,16,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e004m001.jpg","[191-]","Leaflet presenting grading system for milk quality; center has design in newsprint style with excerpt from ""The Milk Reporter""; caption: ""New York Milk Committee"" at center bottom.","New York. New York City.",,,,"Jonathan Frater",,,,
"If You Knew (1)","2004-02-11","Milk hygiene; Infant mortality; Fund raising;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",16,9,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e006m001.jpg","[1911]","Front section of fundraising form asking for support of the New York Milk Committee's work. One healthy baby photograph in medallion and one photograph ofa weighing station and doctor advising mothers.","New York. New York City.","outside face 1 of mk1e006"," mk1e006.jpg","Halftone photomechanical prints","Bernadette CARDONA",,,,
"If You Knew (2)","2004-02-11","Milk hygiene; Infant mortality; Fund raising;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",16,9,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e006m002.jpg","[1911]","Inside left face of fundraising form describing the work of the Milk Committee with photograph of a healthy, plump baby.","New York. New York City.","inside face 1 of mk1e006"," mk1e006.jpg","Halftone photomechanical prints","Bernadette CARDONA",,"1005 little white hearses passed through the streets of New York City in two weeks last summer. One-eighth of the 123,433 little ones born during the year, (equalling the population of New Haven, Conn.) died under twelve months.<br> In the same squalid, poverty-smitten and congested districts where most of these deaths occured the Milk Committee maintained 7 in- fants' milk depots. Pure Milk was distributed on ice and the mothers taught how to care for it. Doctors at weekly classes taught the mothers how to feed their babies. Trained nurses visited their homes and taught them how to be clean and healthy. The babies of these mothers gained steadily in spite of the heat, poverty and congestion. Smiles and dimples came into their pinched faces; sleep came to the <br> tired women who watched over them. Sickness was prevented and <br>lives were saved because the mothers were taught and because pure milk and a few essentials were provided at low cost.",,
"If You Knew (3)","2004-02-11","Milk hygiene; Infant mortality; Fund raising;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",16,9,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e006m003.jpg","[1911]","Pledge form on the right inside face of the circular stating that the cost of a trained nurse is $900, the annual cost per infant is $35, and the cost of a depot feeding 75 babies daily is $2500.","New York. New York City.","inside face 2 of mk1e006"," mk1e006.jpg","Halftone photomechanical prints","Bernadette CARDONA",,,,
"If You Knew (4)","2004-02-11","Milk hygiene; Infant mortality; Fund raising;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",16,9,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e006m004.jpg","[1911]","Back face of the fundraising circular relating a success story told by a visiting nurse.","New York. New York City.","back of mk1e006"," mk1e006.jpg","Halftone photomechanical prints","Bernadette CARDONA",,"Some of the Committee' friends may be interested in the history of baby Carmina. We learned about her through a liitle girl who came to us and said her mother was sick and desired help. I went home with her and found the sick woman on a cot in the corner of a dark, ill ven-tilated room, bare of all furniture. She was weak, discouraged, and unwilling to talk -- a picture of a nervous break-down. The baby was crying and moaning. The husband had been out of work for a long time and the family income was $5 weekly which the oldest girl earned. One child had already died of intestinal trouble and this baby was going fast.<br> It was so easy to care for the mother, to modify the milk and get the baby started right, but it meant so much for that family. Later the mother came to our classes. Her complete ignor- ance about herself and her baby was startling, but we taught her easily as she was so eager to learn. I wish you could see the baby now. It weighs 14 pounds at 5 months, and is a dear.  You would hardly know the mother; she is not a healthy woman yet but as all worry about her child has been removed she has confidence and strength again to live. Her face always wears a happy smile when she comes to see us.",,
"If You Knew","2004-02-10","Milk hygiene; Infant mortality; Fund raising","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",16,9,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e006","[1911]","Fund raising circular promoting the Milk Committee's work and asking for support.",,,,,,,,,
"Special Bulletin (1)","2004-02-11","Infant mortality; Stats; Cities & towns;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",16,21,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e045m001.jpg",1916,"Errata to previously published reports of the New York Milk Committee. Includes table of corrected infant mortality data for  the cities of Indianapolis, Passaic, and Perth Amboy between 1906 and 1916.","New York. New York City.","Front of mk1e045"," mk1e045.jpg",,"Bernadette CARDONA",,,,
"Special Bulletin (2)","2004-02-11","Infant mortality; Stats; Cities & towns;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.",,16,21,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e045m002.jpg",1916,"Back of the errata report issued by the New York Milk Committee in 1916. Includes quotes from the Health Officers of the cities of Indianapolis, Passaic, and Perth Amboy correcting past errors.","New York. New York City.","back of mk1e045"," mk1e045.jpg",,"Bernadette CARDONA",,"In calling attention to these errors the health officials wrote as follows:<br> <br>The Health Officer of Indianapolis: <br> ""In the record which we sent you on January 15th, the <br> still births were included in the deaths under one year.""<br><br> The Health Officer of Passaic: <br><br> ""The figures transmitted to your Committee were the same <br>received from the Registrar, at which time I thought correct. But <br> after receiving your table of Infant Mortalities of the different<br> cities reported to your office, this office with the idea of discov-<br>ering the real cause of our marked increase, checked up the in-<br>fant deaths under one year and after completing same found that <br> an error had been made, both in the number of births reported<br> and also in the number of death under one year.""<br><br> The Secretary-Board of Health, Perth Amboy:<br><br> ""We misconceived the meaning of the term  'living births', and deducted from the living births (exclusive of still births) such deaths as had occured of infants under one year of age.""<br><br> The monthly bulletins for the current year are coming in <br>promptly from an increased number of cities - and their mortalit<br> reports indicate that 1916 will show a substantial decrease over <br> previous years in most instances.<br> New York Milk Committee",,
"Special Bulletin","2004-02-10","Infant mortality; Stats; Cities & towns","The New York Academy of Medicine","JPG","New York Milk Committee.","Circulars",16,21,,"English","mk1e045",1916,"Errata for published reports of infant mortality in the cities of Indianapolis, Passaic, and Perth Amboy.",,,,,,,,,
"Accomplishments (1)","2004-02-11","Progress; Infants","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",10,16,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e046m001.jpg","[1912]","Front page of brochure providing progress report on the work the New York Milk Committee from January to July of 1912.  Illustrated with photo montage of infants.","New York. New York City.","front of mk1e046"," mk1e046.jpg","Halftone photomechanical prints","Constance Malpas",,,,
"Accomplishments (2)","2004-02-11","Education; Health & welfare; Infants; Milk hygiene; Dairy products industry; Public service organizations;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",20,16,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e046m002.jpg","[1912]","Text details achievements of New York Milk Committee in 1911.","New York. New York City.","inside faces of mk1e046"," mk1e046.jpg",,"Constance Malpas",,"The New York Milk Committee<br>   has<br>   Prepared and published the Fifth Annual Report of the Committee for 1911, giving the results of a successful two years' experiment to prove that milk equal to certified can be produced by the ordinary farmer from healthy herds and delivered to the consumer in New York at the price usually charged for bottled milk of uncertain quality. <br><br>   Prepared and distributed 2,000 copies of a special report ""Infant Mortality and Milk Stations,"" furnishing a working basis to health officers and civic organizations undertaking the establishment of milk stations and baby-saving campaigns in their cities.   <br><br>   Actively co-operated with the Health Department in bringing about an efficient organization of the work in 55 municipal milk stations established as the result of the campaign in 1911.   <br><br>   Brought about through the co-operation of the Health Department and various social organization interested in baby-saving the formation ofa  Babies'Welfare Association.  This Association represents 150 agencies and has for its object the stadardization of methods and the proper distribution of work so as to eliminate duplication and over-lapping; to serve as a clearing house for information relating to the work of reducing infant mortality.   <br><br>   Provided the Babies' Welfare Association with an Executive Secretary and borne the expense of preparing and printing educational literature for distribution among tenement housing mothers.  Already 300,000 peiceds of literature hve been distributed in the English, Italian and Yiddish languages.  Although our vigorous campaign last year brought about the lowest baby death rate in the history of New York City there is every indication that the good record of last year will be not only maintained but exceeded.   <br><br>   Carried on throught its Committee on Womens' Organizations an active campaign among women's clubs, civic organizations and churches to demand a strict enforcement by the Health Department of the present rules and regulations relating to the production and sale of milk.   <br><br>   Conducted an exhaustive investigation as to the quality of milk served to patrongs of hotels, restaurants, lunch rooms and soda fountains in the business and shopping sections of Manhattan and Brooklyn.  The results of this investigation have been forwarded to the Board of Health and follow-up work already begun to insure a better and more wholesome milk supply to patrons of these places.   <br><br>   Appointed a Special Committe to study the present methods employed by the State to stamp out tuberculosis among cattle, and to formulate plans to obtain a more adequate State cotnrol of this disease.   <br><br>   Prepared comprehensive educational exhibits for the International Congress of Hygiene and Demography and for the New York State Fair.   <br><br>   Completed the first six months of its investigation of deaths for congenital diseases and its experiment to determine the balue of educating expectant mothers as a means of reducing infant mortality from these diseases.  822 mothers have already been educated in the prenatal care of their babies and themselves by a competent staff of nurses and doctors.  The results already obtained indicate that the death rate among babies from congenital disease can be reduced fully 50% and a higher vitality assured to babies if the tenement mothers are given proper instruction in mothercraft.",,
"Accomplishments (3)","2004-02-11","Milk; Standardization;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",10,16,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e046m003.jpg","[1912]","Back of brochure detailing accomplishments of the New York Milk Committee in 1912.  Text describes public education campaign using report prepared by commission of experts convened by the Milk Committee and distributed nationwide by the U.S. government.","New York. New York City.","back of mk1e046"," mk1e046.jpg",,"Constance Malpas",,"The Commission appointed by the New York Milk Committee in March, 1911, and composed of seventeen milk experts from different parts of the United States completed its first report April, 1912.  The United States Government has pritned 75,000 copies of this reprot which have been distributed to the mayor, health officer and civic organizations in every American municipality.  The Committee feels that this has been one of the most important pieces of work ever performed by a civic organization in that it will seve as a basis for raising the standard of milk suppoy of 20,000,000 babies in the United States.   <br><br>   New York Milk Committee   <br>   105 East 22d Street   <br>   Stephen G. Williams...Chairman<br>   Thomas S. McLane, Treasurer   Paul E. Taylor - Secretary.",,
"Accomplishments","2004-02-11","Progress; Milk; Standardization; Education; Infants; Mothers; Health & welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",10,16,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","nk1e046","[1912]","A progress reports issued by the New York Milk Committee detailing accomplishments achieved in the first six months of 1912. Four page brochure printed on one sheet.",,,,"Halftone photomechanical prints",,,,,
"While There's Care There's Hope (1)","2004-02-17","Infant mortality; Child rearing; Nutrition; Stats; Milk;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",16,9,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e008m001.jpg","[1911]","Postcard; caption title; quote from ""Dr. S. Josephine Baker, Bureau of Child Hygiene""; quote from ""Boston Milk & Baby Association"" dated March, 1911; contact information for New York MIlk Committee, bottom; illustration of baby in left column, inset; divider down center of card; right portion blank; stamp square upper right corner.","New York. New York City.","front of mk1e008"," mk1e008.jpg","Line photoengravings;","Jonathan Frater",,,"1 of 2","caretakers, parents, physicians"
"While There's Care There's Hope (2)","2004-02-17","Infant mortality; Summer; Nutrition; Weather; Health; Municipal government; Stats;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",9,16,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e008m002.jpg","[1911]","Caption title; quote from N.Y. herald, Aug. 2, 1911: ""Fewer babies Die in July""; quote from New York American, August 2, 1911: ""731 Babies saved in July""; accounts of newspaper articles regarding lowering of infant mortality rate for summer months.","New York. New York City.","back of mk1e008"," mk1e008.jpg",,"Jonathan Frater",,,"2 of 2","Parents, physicians"
